FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
461,462,387,2,Bronx,038700,2038700,E,BX06,Belmont,3705,6112.839242539999800,6112.839020420000500,1969718.318250000000000,0
462,463,392,2,Bronx,039200,2039200,E,BX44,Williamsbridge-Olinville,3702,4077.697525619999900,4077.697606839999900,1035565.390410000000000,0
463,464,394,2,Bronx,039400,2039400,E,BX44,Williamsbridge-Olinville,3702,5629.580486160000000,5629.580361479999700,1560974.329510000100000,0
464,465,396,2,Bronx,039600,2039600,E,BX44,Williamsbridge-Olinville,3702,6233.370213209999700,6233.369890150000200,2402726.462330000000000,0
465,466,398,2,Bronx,039800,2039800,I,BX44,Williamsbridge-Olinville,3702,5909.034194480000200,5909.034305070000300,2172955.406589999800000,0
466,467,399.02,2,Bronx,039902,2039902,E,BX05,Bedford Park-Fordham North,3706,5160.371025370000100,5160.371448420000000,1309646.671499999900000,0
467,468,401,2,Bronx,040100,2040100,E,BX05,Bedford Park-Fordham North,3706,5663.364248470000300,5663.364264920000100,1841945.939719999900000,3
468,469,403.03,2,Bronx,040303,2040303,E,BX28,Van Cortlandt Village,3701,3875.771222620000100,3875.771077089999800,949187.717624000040000,0
469,470,403.04,2,Bronx,040304,2040304,E,BX28,Van Cortlandt Village,3701,3459.318918750000200,3459.319039990000000,723328.376437000000000,0
470,471,404,2,Bronx,040400,2040400,I,BX44,Williamsbridge-Olinville,3702,6116.027024160000100,6116.027479350000200,2316967.272270000100000,0
471,472,405.01,2,Bronx,040501,2040501,E,BX05,Bedford Park-Fordham North,3706,4542.805276019999800,4542.805219900000300,873436.999787000010000,0
472,473,405.02,2,Bronx,040502,2040502,E,BX05,Bedford Park-Fordham North,3706,5358.570274730000200,5358.570812979999600,1534114.929370000000000,0
473,474,406,2,Bronx,040600,2040600,I,BX44,Williamsbridge-Olinville,3702,6241.567028470000000,6241.566841539999600,2403938.426980000000000,0
474,475,407.01,2,Bronx,040701,2040701,E,BX28,Van Cortlandt Village,3701,3907.032699630000000,3907.032954769999800,630566.010984999940000,0
475,476,407.02,2,Bronx,040702,2040702,E,BX05,Bedford Park-Fordham North,3706,6195.824398349999700,6195.824708389999600,1956959.061130000000000,0
476,477,415,2,Bronx,041500,2041500,E,BX05,Bedford Park-Fordham North,3706,5181.193175059999700,5181.193125390000200,1471378.299369999900000,0
477,478,422,2,Bronx,042200,2042200,E,BX44,Williamsbridge-Olinville,3702,5599.161236699999800,5599.160726819999600,1884434.196400000000000,0
478,479,423,2,Bronx,042300,2042300,E,BX43,Norwood,3706,6174.663567870000400,6174.663415850000100,1939179.483000000000000,12
479,480,424,2,Bronx,042400,2042400,I,BX44,Williamsbridge-Olinville,3702,5694.371834999999900,5694.372182420000200,1882378.385109999900000,0
480,481,428,2,Bronx,042800,2042800,I,BX62,Woodlawn-Wakefield,3702,5422.980190970000000,5422.980601899999800,1821035.113889999900000,0
481,482,429.02,2,Bronx,042902,2042902,E,BX43,Norwood,3706,4590.905606690000200,4590.905481169999800,1011499.134100000000000,0
482,483,430,2,Bronx,043000,2043000,I,BX62,Woodlawn-Wakefield,3702,5850.896793719999600,5850.897011609999900,2219376.184969999800000,0
483,484,434,2,Bronx,043400,2043400,E,BX62,Woodlawn-Wakefield,3702,10436.351162100000000,10436.351185400001000,3761012.855430000000000,0
484,485,436,2,Bronx,043600,2043600,I,BX62,Woodlawn-Wakefield,3702,5633.954983159999800,5633.954978890000300,1679294.279919999900000,0
485,486,451.01,2,Bronx,045101,2045101,I,BX62,Woodlawn-Wakefield,3702,5711.491891419999800,5711.492545619999900,1854782.796570000000000,0
486,487,153,2,Bronx,015300,2015300,E,BX75,Crotona Park East,3705,7303.681607520000400,7303.681341319999800,2525294.133620000000000,0
487,488,89,5,Staten Island,008900,5008900,I,SI22,West New Brighton-New Brighton-St. George,3903,168.524337454000000,168.524455356000000,581.952696490999980,0
488,489,2,4,Queens,000200,4000200,E,QN53,Woodhaven,4111,5114.375629010000000,5114.375289919999900,1665497.216449999900000,0
489,490,4,4,Queens,000400,4000400,I,QN53,Woodhaven,4111,6508.270996659999600,6508.271655090000400,2420892.145000000000000,0
490,491,6,4,Queens,000600,4000600,E,QN53,Woodhaven,4111,6437.134397660000100,6437.134854230000200,2307340.887329999800000,0
491,492,8,4,Queens,000800,4000800,I,QN53,Woodhaven,4111,5918.323624059999900,5918.323761400000000,2043534.335690000100000,0
492,493,10,4,Queens,001000,4001000,I,QN53,Woodhaven,4111,5286.510686880000300,5286.510403629999900,1743089.900470000000000,0
493,494,12,4,Queens,001200,4001200,I,QN53,Woodhaven,4111,6305.939777110000300,6305.939536529999700,2420973.595869999800000,1
494,495,14,4,Queens,001400,4001400,I,QN53,Woodhaven,4111,6059.962990220000400,6059.962831599999800,2305944.669580000000000,0
495,496,16,4,Queens,001600,4001600,E,QN53,Woodhaven,4111,5985.307006560000400,5985.306770510000200,1623632.724880000100000,2
496,497,28,4,Queens,002800,4002800,I,QN54,Richmond Hill,4111,6400.430919239999600,6400.431091229999800,2386683.261179999900000,0
