,GEO.id2,PUMA,youth_pop,Income,Education_level,hotspot,withoutHSI,WithoutDevice,score,RANK
1729,36085020100,03903,29.7536928884,69.3312839589,48.9489208296,100.0,33.5784476048,20.1846986961,59.0374543434,1730
1730,36047020600,04013,29.3843031876,68.6079753386,51.9429353156,100.0,25.927690812,15.1283159433,59.0358080046,1731
1731,36081080900,04106,26.9529614142,69.0342107756,53.3192721455,100.0,25.6844950318,13.1230665031,59.0277976961,1732
1732,36047003300,04004,58.254642216,61.6194363359,45.7184325109,81.8181818182,24.9479904045,12.6145345177,59.0154509567,1733
1733,36085014604,03901,29.0494091044,68.6867643133,52.5456282748,96.9696969697,14.539637817,8.7031930208,59.0043753667,1734
1734,36005018400,03703,25.6119679159,73.0610593027,40.5443187655,100.0,46.9538035493,18.6737513284,59.0028813889,1735
1735,36061023801,03805,39.8072645372,66.9137971119,45.802934167,96.9696969697,0.0,5.34927463035,58.9973422127,1736
1736,36061008800,03808,42.8778146558,63.1560366132,54.5538313273,100.0,6.74239416176,6.39482732845,58.9682904934,1737
1737,36081050700,04110,23.1245163735,71.0017824391,50.6138168628,100.0,19.6409484794,13.1763419121,58.9670282839,1738
1738,36047102600,04009,29.2646816605,74.0612056866,32.1507634537,100.0,28.9517597448,13.8927392503,58.9271634555,1739
1739,36047020200,04013,23.2405047413,73.3396192297,41.8927262667,100.0,25.927690812,15.1283159433,58.9146895536,1740
1740,36081119900,04103,22.1644969956,71.2514961294,50.5722421033,100.0,32.0560553359,22.471582629,58.9140437446,1741
1741,36081155101,04105,0.0,77.4999354189,55.152394775,100.0,15.7357361117,9.82586649765,58.9065563154,1742
1742,36081105900,04103,24.0990300667,69.2473284941,55.152394775,100.0,32.0560553359,22.471582629,58.884505885,1743
1743,36085024402,03901,27.9018868831,67.9354705381,55.152394775,100.0,14.539637817,8.7031930208,58.8753392972,1744
1744,36081062200,04105,24.04125264,73.02403279,41.7973459151,100.0,15.7357361117,9.82586649765,58.8734151841,1745
1745,36081055800,04105,29.8964413451,67.2160367854,55.152394775,100.0,15.7357361117,9.82586649765,58.8519160247,1746
1746,36081040200,04112,29.3345470802,68.8383146909,50.0568533738,100.0,41.6849237487,18.4974882428,58.8460600302,1747
1747,36005033700,03701,27.1759079144,69.0342107756,52.4939080675,96.9696969697,36.3790395403,16.7574640181,58.8229281429,1748
1748,36047075800,04015,34.1827920031,68.2743061834,46.0614856841,100.0,35.9809095879,15.6602478177,58.8218644337,1749
1749,36081060100,04110,20.7426120668,74.7827921435,39.1914827229,100.0,19.6409484794,13.1763419121,58.8126197599,1750
1750,36005000200,03709,33.5517474209,71.7952692172,34.3096558736,100.0,37.7845845042,17.940666448,58.8120123091,1751
1751,36047063800,04016,17.7227186919,72.7898185701,49.8678419295,100.0,33.7069399413,17.0849024945,58.8102029677,1752
1752,36061000700,03810,72.171902697,54.7105473896,51.4199203529,84.8484848485,5.636643901,5.28365247213,58.7991904276,1753
1753,36047000502,04004,36.5666576853,65.1055255612,54.9140157524,96.9696969697,24.9479904045,12.6145345177,58.7973346262,1754
1754,36081058000,04105,29.715194299,70.5264653458,42.9395773627,100.0,15.7357361117,9.82586649765,58.7308159766,1755
1755,36005034300,03701,22.3888445156,73.7942703624,40.2098660394,100.0,36.3790395403,16.7574640181,58.7299214428,1756
1756,36085024800,03901,31.1312920852,68.8396063135,47.1917507679,100.0,14.539637817,8.7031930208,58.7296628024,1757
1757,36081061602,04105,30.4078251773,68.1597823185,50.4046202943,100.0,15.7357361117,9.82586649765,58.7189118159,1758
1758,36047075200,04015,26.2409177103,72.7243763616,39.279378902,100.0,35.9809095879,15.6602478177,58.7181903973,1759
1759,36047069200,04009,33.9523543539,68.1683931355,46.0467037181,100.0,28.9517597448,13.8927392503,58.7099503538,1760
1760,36061011700,03807,56.9291609086,58.2810226206,53.2897638088,100.0,14.2679710987,7.90933146454,58.7059373351,1761
1761,36047083800,04010,34.49881047,70.5768386247,36.8091995088,100.0,44.3487522849,21.6067519867,58.6999437042,1762
1762,36081065703,04110,26.4767724673,72.5323551445,39.4694268155,100.0,19.6409484794,13.1763419121,58.6838491102,1763
1763,36061018300,03806,32.9615476543,66.5276019736,53.5520289771,96.9696969697,5.46172029629,6.69039072705,58.6834478193,1764
1764,36047003400,04013,33.8232076007,67.8110442338,49.2915889142,90.9090909091,25.927690812,15.1283159433,58.681482446,1765
1765,36047050400,04012,33.4891692678,66.679582892,51.4307119271,100.0,25.671432929,14.9842959344,58.6360567857,1766
1766,36005013800,03703,32.8596215564,68.306166206,46.3895081771,100.0,46.9538035493,18.6737513284,58.6281863412,1767
1767,36061004900,03810,48.1442159631,60.5951796647,55.152394775,100.0,5.636643901,5.28365247213,58.6145421645,1768
1768,36081076901,04108,23.9147815221,69.0139753558,55.152394775,96.9696969697,26.5796704088,17.4024953335,58.5972813157,1769
1769,36047101800,04009,28.4654938106,67.2526327573,55.152394775,100.0,28.9517597448,13.8927392503,58.5842353336,1770
1770,36081073900,04108,19.1518855582,71.3686032394,53.0817492208,93.9393939394,26.5796704088,17.4024953335,58.5720894168,1771
1771,36081059800,04105,24.735437558,72.2632671162,41.7377606287,100.0,15.7357361117,9.82586649765,58.5524954701,1772
1772,36085030302,03903,33.0262325166,69.1904971025,42.5779407711,100.0,33.5784476048,20.1846986961,58.5472288521,1773
1773,36081103900,04103,28.5674642821,68.6790145781,49.7562199116,100.0,32.0560553359,22.471582629,58.5460022808,1774
1774,36081002000,04111,32.6791545008,70.547992388,37.6995645864,100.0,26.4081704845,11.3739965756,58.4641599585,1775
1775,36047006300,04005,36.3052914794,65.12016395,52.3881671328,100.0,1.53948632809,7.27419030376,58.4410562468,1776
1776,36081066400,04105,34.3694351784,67.6564800703,45.6744831284,100.0,15.7357361117,9.82586649765,58.4281841586,1777
1777,36047050000,04012,23.9651160439,71.5115428001,45.1845491159,96.9696969697,25.671432929,14.9842959344,58.4173189124,1778
